country,year,step,unit,variable,group,value
ARG,2000,pon,esn,edu_sh,b50,.1284608095884323
ARG,2000,pon,esn,edu_sh,m40,.0272862389683723
ARG,2000,pon,esn,edu_sh,t1,.0022408599033952
ARG,2000,pon,esn,edu_sh,t10,.006213903427124
ARG,2000,pon,esn,edu_sh,tot,.0294969603419304
ARG,2000,pon,esn,hea_sh,b50,.1361228376626968
ARG,2000,pon,esn,hea_sh,m40,.0219625048339367
ARG,2000,pon,esn,hea_sh,t1,.0011747094104066
ARG,2000,pon,esn,hea_sh,t10,.0036197393201292
ARG,2000,pon,esn,hea_sh,tot,.0270101949572563
ARG,2000,pon,esn,mbe_sh,b50,.052544429898262
ARG,2000,pon,esn,mbe_sh,m40,.0159727204591036
ARG,2000,pon,esn,mbe_sh,t1,.0098764188587666
ARG,2000,pon,esn,mbe_sh,t10,.0120945237576962
ARG,2000,pon,esn,mbe_sh,tot,.0185285042971373
ARG,2000,pon,esn,oex_sh,b50,.0351578369736671
ARG,2000,pon,esn,oex_sh,m40,.0493959970772266
ARG,2000,pon,esn,oex_sh,t1,.0517772622406483
ARG,2000,pon,esn,oex_sh,t10,.0514438077807426
ARG,2000,pon,esn,oex_sh,tot,.0486537255346775
ARG,2000,pon,esn,wmbe_sh,b50,.6477142572402954
ARG,2000,pon,esn,wmbe_sh,m40,.885382354259491
ARG,2000,pon,esn,wmbe_sh,t1,.9349307417869568
ARG,2000,pon,esn,wmbe_sh,t10,.9266279935836792
ARG,2000,pon,esn,wmbe_sh,tot,.8763105273246765
ARG,2001,pon,esn,edu_sh,b50,.1492815017700195
ARG,2001,pon,esn,edu_sh,m40,.0281887538731098
ARG,2001,pon,esn,edu_sh,t1,.0024633323773742
ARG,2001,pon,esn,edu_sh,t10,.0064387964084744
ARG,2001,pon,esn,edu_sh,tot,.0310202892869711
ARG,2001,pon,esn,hea_sh,b50,.1540057212114334
ARG,2001,pon,esn,hea_sh,m40,.0218968149274588
ARG,2001,pon,esn,hea_sh,t1,.001331725390628
ARG,2001,pon,esn,hea_sh,t10,.0036653457209468
ARG,2001,pon,esn,hea_sh,tot,.0275946948677301
ARG,2001,pon,esn,mbe_sh,b50,.0664269626140594
ARG,2001,pon,esn,mbe_sh,m40,.0200396999716759
